longitude,latitude,Soil_Phase,Main_Class,Soil_Type,Int_Type
76.54126782,11.7867199,HPRcB2,HPR,Gravelly_Sandy_Clay_Loam,3
76.54126918,11.78898005,HPRcB2,HPR,Gravelly_Sandy_Clay_Loam,3
76.54356059,11.7844584,HPRcB2,HPR,Gravelly_Sandy_Clay_Loam,3
76.54356197,11.78671855,HPRcB2,HPR,Gravelly_Sandy_Clay_Loam,3
76.54585193,11.77993673,HPRhB2g1,HPR,Gravelly_Sandy_Clay_Loam,3
76.54585333,11.78219688,HPRhB2g1,HPR,Gravelly_Sandy_Clay_Loam,3
76.54585473,11.78445703,HPRhB1,HPR,Gravelly_Sandy_Clay_Loam,3
76.54585612,11.78671718,HPRcB2,HPR,Gravelly_Sandy_Clay_Loam,3
76.54813613,11.76411427,KLPhB2,KLP,Gravelly_Sandy_Clay_Loam,3
76.54813754,11.76637443,MDHiB2,MDH,Gravelly_Sandy_Clay,2
76.54813896,11.76863458,MDHiB2,MDH,Gravelly_Sandy_Clay,2
76.54814603,11.77993534,BMDhB2,BMD,Clay,1
76.54814886,11.78445564,HPRhB1,HPR,Gravelly_Sandy_Clay_Loam,3
76.54815028,11.78671579,BMBiB1,BMB,Clay,1
76.55042866,11.76185272,BMBhB2,BMB,Clay,1
76.55043009,11.76411287,KLPhB2,KLP,Gravelly_Sandy_Clay_Loam,3
76.55043153,11.76637302,MDHiB2,MDH,Gravelly_Sandy_Clay,2
76.55043296,11.76863318,MDHiB2,MDH,Gravelly_Sandy_Clay,2
76.55043439,11.77089333,MDHiB2,MDH,Gravelly_Sandy_Clay,2
76.55043869,11.77767379,BMDhB2,BMD,Clay,1
76.55044013,11.77993394,HPRcB2,HPR,Gravelly_Sandy_Clay_Loam,3
76.55044156,11.78219409,HGHhB1,HGH,Sandy_Clay_Loam,5
76.55044299,11.78445424,HPRhB1,HPR,Gravelly_Sandy_Clay_Loam,3
76.55044443,11.78671439,BMBiB1,BMB,Clay,1
76.55271681,11.75281068,GPRcC2g1,GPR,Gravelly_Sandy_Clay_Loam,3
76.55271826,11.75507083,GPRcC2g1,GPR,Gravelly_Sandy_Clay_Loam,3
76.55271971,11.75733099,GPRcC2g1,GPR,Gravelly_Sandy_Clay_Loam,3
76.55272116,11.75959114,BMBhB2,BMB,Clay,1
76.55272261,11.7618513,BMBhB2,BMB,Clay,1
76.55272406,11.76411145,KLPhB2,KLP,Gravelly_Sandy_Clay_Loam,3
76.55272551,11.7663716,HPRiB2g1,HPR,Gravelly_Sandy_Clay_Loam,3
76.55272696,11.76863176,HPRiB2g1,HPR,Gravelly_Sandy_Clay_Loam,3
76.55272986,11.77315206,BMBmB1,BMB,Clay,1
76.55273132,11.77541221,HPRcB2,HPR,Gravelly_Sandy_Clay_Loam,3
76.55273277,11.77767236,HPRcB2,HPR,Gravelly_Sandy_Clay_Loam,3
76.55273422,11.77993252,HPRmB1,HPR,Gravelly_Sandy_Clay_Loam,3
76.55273567,11.78219267,HGHhB1,HGH,Sandy_Clay_Loam,5
76.55273713,11.78445282,BMBiB1,BMB,Clay,1
76.55273858,11.78671297,BMBiB1,BMB,Clay,1
76.55274004,11.78897312,HPRiB1,HPR,Gravelly_Sandy_Clay_Loam,3
76.55500921,11.75054909,GPRcC2g1,GPR,Gravelly_Sandy_Clay_Loam,3
76.55501068,11.75280924,GPRcC2g1,GPR,Gravelly_Sandy_Clay_Loam,3
76.55501362,11.75732955,BMBhB2,BMB,Clay,1
76.55501509,11.7595897,BMBhB2,BMB,Clay,1
76.55501656,11.76184986,BMBhB2,BMB,Clay,1
76.55501802,11.76411001,HGHcB2,HGH,Sandy_Clay_Loam,5
76.55501949,11.76637016,ARKhB2g1,ARK,Sandy_Clay,4
76.55502096,11.76863032,ARKhB2g1,ARK,Sandy_Clay,4
76.55502243,11.77089047,MDHiB2,MDH,Gravelly_Sandy_Clay,2
76.55502538,11.77541077,HPRcB2,HPR,Gravelly_Sandy_Clay_Loam,3
76.55502685,11.77767092,HPRcB2,HPR,Gravelly_Sandy_Clay_Loam,3
76.55502832,11.77993108,HPRmB1,HPR,Gravelly_Sandy_Clay_Loam,3
76.55502979,11.78219123,HGHhB1,HGH,Sandy_Clay_Loam,5
76.55503126,11.78445138,BMBiB1,BMB,Clay,1
76.55503273,11.78671152,HPRiB1,HPR,Gravelly_Sandy_Clay_Loam,3
76.55503421,11.78897168,HPRiB1,HPR,Gravelly_Sandy_Clay_Loam,3
76.55503568,11.79123182,KNGhC2g1,KNG,Gravelly_Sandy_Clay_Loam,3
76.55730307,11.75054763,GPRcC2g1,GPR,Gravelly_Sandy_Clay_Loam,3
76.55730455,11.75280779,GPRcC2g1,GPR,Gravelly_Sandy_Clay_Loam,3
76.55730604,11.75506794,GPRcC2g1,GPR,Gravelly_Sandy_Clay_Loam,3
76.55730753,11.75732809,GPRcC2g1,GPR,Gravelly_Sandy_Clay_Loam,3
76.55730901,11.75958825,BMDhB1g1,BMD,Clay,1
76.5573105,11.7618484,BMBmB1,BMB,Clay,1
76.55731199,11.76410855,BMBmB1,BMB,Clay,1
76.55731348,11.76636871,ARKhB2g1,ARK,Sandy_Clay,4
76.55731497,11.76862886,ARKhB2g1,ARK,Sandy_Clay,4
76.55731646,11.77088901,ARKhB2g1,ARK,Sandy_Clay,4
76.55731794,11.77314916,BMBmB1,BMB,Clay,1
76.55731943,11.77540931,HPRcB1,HPR,Gravelly_Sandy_Clay_Loam,3
76.55732092,11.77766947,HPRbB1g1,HPR,Gravelly_Sandy_Clay_Loam,3
76.55732241,11.77992962,HPRbB1g1,HPR,Gravelly_Sandy_Clay_Loam,3
76.5573239,11.78218977,HPRmB1,HPR,Gravelly_Sandy_Clay_Loam,3
76.5573254,11.78444992,BMBiB1,BMB,Clay,1
76.55732689,11.78671007,HPRhB2,HPR,Gravelly_Sandy_Clay_Loam,3
76.55732838,11.78897021,HPRhB2,HPR,Gravelly_Sandy_Clay_Loam,3
76.55732987,11.79123036,KNGhC2g1,KNG,Gravelly_Sandy_Clay_Loam,3
76.55733136,11.79349051,DRHhC3g1,DRH,Gravelly_Sandy_Clay_Loam,3
76.55959692,11.75054616,GPRcC2g1,GPR,Gravelly_Sandy_Clay_Loam,3
76.55959842,11.75280631,GPRcC2g1,GPR,Gravelly_Sandy_Clay_Loam,3
76.55959993,11.75506647,GPRcB1,GPR,Gravelly_Sandy_Clay_Loam,3
76.55960143,11.75732662,GPRcB1,GPR,Gravelly_Sandy_Clay_Loam,3
76.55960294,11.75958677,BMDhB1g1,BMD,Clay,1
76.55960445,11.76184693,BMBmB1,BMB,Clay,1
76.55960595,11.76410708,BMBmB1,BMB,Clay,1
76.55960746,11.76636723,BMBmB1,BMB,Clay,1
76.55960897,11.76862738,BMBmB1,BMB,Clay,1
76.55961048,11.77088754,BMBmB1,BMB,Clay,1
76.55961198,11.77314769,BMBmB1,BMB,Clay,1
76.55961349,11.77540784,HPRcB1,HPR,Gravelly_Sandy_Clay_Loam,3
76.559615,11.77766799,HPRcB1,HPR,Gravelly_Sandy_Clay_Loam,3
76.55961802,11.78218829,BMBiB1,BMB,Clay,1
76.55961953,11.78444844,BMBiB1,BMB,Clay,1
76.55962104,11.78670859,HPRhB2,HPR,Gravelly_Sandy_Clay_Loam,3
76.55962196,11.77534381,HPRcB1,HPR,Gravelly_Sandy_Clay_Loam,3
76.55962255,11.78896874,HPRhB2,HPR,Gravelly_Sandy_Clay_Loam,3
76.55962406,11.79122888,KNGhC2g1,KNG,Gravelly_Sandy_Clay_Loam,3
